framework,workload,dataset_size,mean_time_s,std_time_s,mean_peak_memory_mb,std_peak_memory_mb,mean_throughput_rows_per_s,std_throughput_rows_per_s,mean_n_rows,dataset_size_gb,n_runs,mean_peak_memory_gb,std_peak_memory_gb,mean_throughput_mrows_per_s,memory_per_input_gb,runtime_cv,memory_cv
dask,groupby,10GB,1.8945333333333334,0.013211484902664522,4239.913333333333,53.00786199549423,7302364.0,50921.03748943063,13834103.0,10.0,3,4.140540364583333,0.051765490229974835,7.302364,0.4140540364583333,0.006973477146173827,0.012502109790489642
pandas,join,10GB,44.812466666666666,0.5394635977833289,11122.753333333334,111.19511515050166,308740.6666666667,3713.2950776006583,13834103.0,10.0,3,10.862063802083334,0.10858897963916178,0.30874066666666666,1.0862063802083335,0.012038248235609932,0.00999708541744475
polars_lazy,join,10GB,9.442300000000001,0.09787394954736349,7978.21,28.106303563435706,1465222.6666666667,15260.815880330001,13834103.0,10.0,3,7.791220703125,0.02744756207366768,1.4652226666666668,0.7791220703125,0.01036547764287975,0.0035228833990877282
polars_eager,join,10GB,3.4277333333333337,0.03944570107544458,7702.490000000001,59.76650901633805,4036282.6666666665,46787.15751499903,13834103.0,10.0,3,7.521962890625001,0.058365731461267625,4.036282666666667,0.7521962890625,0.011507809167023274,0.007759375087320859
dask,join,10GB,62.95336666666666,2.84775598732289,9793.143333333333,219.75073727597223,220044.0,9700.599517555604,13834103.0,10.0,3,9.563616536458333,0.21460032937106663,0.220044,0.9563616536458334,0.04523596017352882,0.022439244458722196
pandas,pipeline,10GB,36.522666666666666,0.1532356790481028,9527.373333333335,69.01589406313059,378785.3333333333,1585.3682011864962,13834103.0,10.0,3,9.304075520833335,0.06739833404602597,0.3787853333333333,0.9304075520833335,0.004195632275338679,0.007243958187474957
polars_lazy,pipeline,10GB,6.450466666666666,0.04955000840901372,4291.3533333333335,58.00520177823104,2144759.6666666665,16406.442586171284,13834103.0,10.0,3,4.1907747395833335,0.05664570486155375,2.1447596666666664,0.41907747395833334,0.007681616070518989,0.013516762026485283
polars_eager,pipeline,10GB,4.821766666666666,0.07164142191032591,8114.06,42.54262450766289,2869507.3333333335,42544.46265183441,13834103.0,10.0,3,7.92388671875,0.041545531745764544,2.8695073333333334,0.7923886718750001,0.014857919692711368,0.005243074922746799
dask,pipeline,10GB,24.7833,2.1049737314275436,3858.5466666666666,519.0617772802515,561021.0,49783.05754973272,13834103.0,10.0,3,3.7681119791666666,0.5068962668752456,0.561021,0.3768111979166667,0.08493516728714673,0.13452261229968748
pandas,filter,20GB,196.3627,5.759176042629719,11882.79,188.7490471499128,140984.33333333334,4148.4826543368,27668206.0,20.0,3,11.604287109375,0.18432524135733672,0.14098433333333335,0.58021435546875,0.029329277111333873,0.01588423654292576
polars_lazy,filter,20GB,8.287866666666666,0.10614077130553332,9754.466666666667,25.42475630823845,3338768.6666666665,42492.5944646045,27668206.0,20.0,3,9.525846354166667,0.02482886358226411,3.3387686666666667,0.47629231770833336,0.012806766273451953,0.0026064732370372325
polars_eager,filter,20GB,8.020333333333333,1.290441716364336,12039.57,438.116517378653,3511593.3333333335,578965.9902415109,27668206.0,20.0,3,11.757392578125,0.4278481615025908,3.5115933333333333,0.5878696289062499,0.16089626985964872,0.03638971469733994
dask,filter,20GB,14.954,0.645718855230355,11519.763333333334,906.4014874399386,1852551.3333333333,80955.41663368387,27668206.0,20.0,3,11.249768880208334,0.885157702578065,1.8525513333333332,0.5624884440104168,0.043180343401789154,0.07868230112134293
pandas,groupby,20GB,135.98706666666666,1.1843571941493563,11885.103333333333,91.15329140153675,203472.33333333334,1780.315234258625,27668206.0,20.0,3,11.606546223958333,0.08901688613431323,0.20347233333333334,0.5803273111979166,0.008709337021383575,0.007669541344742487
polars_lazy,groupby,20GB,4.890866666666667,0.12579675406517193,3627.9300000000003,156.82830771260626,5659570.0,143553.68710346663,27668206.0,20.0,3,3.5429003906250003,0.15315264425059205,5.65957,0.17714501953125,0.025720749028496366,0.04322804125564888
polars_eager,groupby,20GB,14.961766666666668,0.5556312116263208,11675.796666666667,172.65463136948682,1850935.0,67603.02979157073,27668206.0,20.0,3,11.402145182291667,0.16860803844676447,1.850935,0.5701072591145834,0.03713673819444144,0.01478739620932249
dask,groupby,20GB,3.759066666666667,0.06706208566196954,5513.886666666666,390.9891950339971,7361888.333333333,132688.5851621509,27668206.0,20.0,3,5.384654947916666,0.38182538577538777,7.361888333333333,0.2692327473958333,0.017840089471314564,0.07090990777842074
pandas,join,20GB,450.7615,9.214309204167185,11915.233333333332,195.98054299683247,61398.0,1247.3800543539246,27668206.0,20.0,3,11.635970052083332,0.1913872490203442,0.061398,0.5817985026041665,0.020441650860082736,0.0164478980406174
polars_lazy,join,20GB,28.766466666666663,0.6150626336669568,10645.8,723.9958320322023,962117.3333333334,20786.777584159925,27668206.0,20.0,3,10.3962890625,0.7070271797189476,0.9621173333333334,0.519814453125,0.021381236729350037,0.06800764921679933
polars_eager,join,20GB,11.129133333333334,0.7895566625222877,12370.653333333334,294.8462491423843,2494716.3333333335,182104.76083928542,27668206.0,20.0,3,12.080716145833334,0.28793579017810966,2.4947163333333333,0.6040358072916667,0.07094502679354676,0.023834331235190836
dask,join,20GB,120.90436666666666,2.8113388720204706,11479.156666666668,691.8623624922318,228927.33333333334,5394.127763905235,27668206.0,20.0,3,11.210113932291668,0.6756468383713201,0.22892733333333334,0.5605056966145834,0.02325258342216317,0.06027118390162504
pandas,pipeline,20GB,248.31726666666668,35.52753187801444,11666.11,241.07302316932868,112849.66666666667,14963.912333789362,27668206.0,20.0,3,11.392685546875,0.23542287418879754,0.11284966666666667,0.56963427734375,0.14307314330141,0.020664387972454287
polars_lazy,pipeline,20GB,8.442733333333335,0.43598307688869453,4724.21,7.045785974609781,3282858.6666666665,165431.55776433146,27668206.0,20.0,3,4.613486328125,0.006880650365829864,3.2828586666666664,0.23067431640625,0.05164003879731222,0.0014914209941153719
polars_eager,pipeline,20GB,22.98646666666667,0.28538010325412133,10123.996666666666,272.2540266613761,1203796.6666666667,14869.75898706278,27668206.0,20.0,3,9.886715494791666,0.2658730729115001,1.2037966666666668,0.4943357747395833,0.012415135714092116,0.026891951432360155
dask,pipeline,20GB,24.231166666666667,0.6667465060525868,4460.493333333333,425.73743320658735,1142421.6666666667,31489.094069746297,27668206.0,20.0,3,4.355950520833333,0.41575921211580796,1.1424216666666667,0.21779752604166663,0.027516071150209584,0.09544626600493833
