framework,workload,dataset_size,mean_time_s,std_time_s,mean_peak_memory_mb,std_peak_memory_mb,mean_throughput_rows_per_s,std_throughput_rows_per_s,mean_n_rows,row_count_m,n_runs,mean_peak_memory_gb,std_peak_memory_gb,mean_throughput_mrows_per_s,std_throughput_mrows_per_s,memory_per_million_rows_gb,runtime_cv,memory_cv
polars_eager,groupby,10M,2.9393333333333334,0.10784230771516952,5351.02,134.58657176702295,3405174.6666666665,124583.53708389141,10000000.0,10.0,3,5.22560546875,0.13143219899123335,3.4051746666666665,0.12458353708389142,0.5225605468750001,0.03668937663251401,0.02515157330135618
dask,groupby,10M,5.095,0.30379205058724,3934.8333333333335,100.96989914491013,1967452.6666666667,119688.6602495547,10000000.0,10.0,3,3.8426106770833335,0.0986034171337013,1.9674526666666667,0.1196886602495547,0.38426106770833335,0.05962552513979196,0.02566052754752259
pandas,join,10M,40.881033333333335,7.079329153481516,8501.963333333333,15.629057339881538,249919.33333333334,46121.824403782346,10000000.0,10.0,3,8.302698567708333,0.015262751308478064,0.24991933333333335,0.04612182440378235,0.8302698567708333,0.17316903650058216,0.001838288019733662
polars_lazy,join,10M,10.287166666666666,0.38826401241079866,5458.736666666667,55.38651490510388,972993.3333333334,36072.19174562772,10000000.0,10.0,3,5.330797526041667,0.05408839346201551,0.9729933333333334,0.03607219174562772,0.5330797526041666,0.037742560706135346,0.01014639801976841
polars_eager,join,10M,3.8077,0.5562125223329658,5639.506666666667,112.45428419288196,2667176.3333333335,420628.80914689304,10000000.0,10.0,3,5.507330729166667,0.10981863690711129,2.6671763333333334,0.42062880914689305,0.5507330729166667,0.14607572086376705,0.019940447070940358
dask,join,10M,63.657900000000005,7.617759033337827,9283.42,404.643898261174,158662.66666666666,19750.885305052365,10000000.0,10.0,3,9.06583984375,0.39516005689567774,0.15866266666666665,0.019750885305052365,0.906583984375,0.11966714317214087,0.04358780473803555
pandas,pipeline,10M,28.337466666666668,0.1604351686299886,7397.82,38.843188592081745,352897.0,2002.9775335734548,10000000.0,10.0,3,7.22443359375,0.03793280135945483,0.352897,0.002002977533573455,0.7224433593749999,0.005661591790020818,0.005250626345610159
polars_lazy,pipeline,10M,7.786333333333332,0.218100764174116,5922.453333333334,110.6414372345789,1284976.0,36014.40067528543,10000000.0,10.0,3,5.783645833333334,0.10804827854939346,1.284976,0.036014400675285434,0.5783645833333334,0.028010715035846914,0.018681690003677344
polars_eager,pipeline,10M,4.9768,0.25934384511686437,5500.72,34.513190232141845,2013066.6666666667,107958.3908472766,10000000.0,10.0,3,5.371796875,0.03370428733607602,2.0130666666666666,0.10795839084727661,0.5371796875,0.052110562031197634,0.006274304133302885
dask,pipeline,10M,24.280366666666666,0.20862225033139092,4398.683333333333,266.3878558293026,411875.3333333333,3546.9729817597035,10000000.0,10.0,3,4.295589192708333,0.26014439045830334,0.4118753333333333,0.0035469729817597037,0.42955891927083334,0.008592219927955135,0.06056081687231466
pandas,filter,50M,724.3525,0.9299423261686687,11567.386666666667,66.95529428905022,69027.33333333333,88.83880533490746,50000000.0,50.0,3,11.296276041666667,0.0653860295791506,0.06902733333333333,8.883880533490746e-05,0.22592552083333334,0.0012838256597011383,0.005788281849520336
polars_lazy,filter,50M,30.593999999999998,1.291195775240919,12443.096666666666,192.64409291056216,1636269.6666666667,69787.73120207689,50000000.0,50.0,3,12.151461588541666,0.18812899698297086,1.6362696666666667,0.06978773120207689,0.24302923177083333,0.0422042157037628,0.015482005651103638
polars_eager,filter,50M,53.201966666666664,1.8351829727123512,7932.786666666667,291.5223844464328,940564.6666666666,32605.638842588753,50000000.0,50.0,3,7.746861979166667,0.2846898285609695,0.9405646666666666,0.032605638842588755,0.15493723958333333,0.03449464536171316,0.036749051335440694
dask,filter,50M,33.80283333333333,3.3175398269400374,10589.163333333332,238.5902475654307,1488889.6666666667,148849.677209369,50000000.0,50.0,3,10.340979817708332,0.23299828863811592,1.4888896666666667,0.148849677209369,0.20681959635416663,0.09814383883816556,0.02253154853267577
pandas,groupby,50M,440.83933333333334,30.52234789893026,11398.86,215.66920526584232,113770.66666666667,7597.519090685677,50000000.0,50.0,3,11.13169921875,0.21061445826742414,0.11377066666666667,0.007597519090685677,0.222633984375,0.06923689786966285,0.01892024336344532
polars_lazy,groupby,50M,18.762633333333333,0.5539093638252862,12196.256666666668,16.877577827797158,2666408.6666666665,78052.60396894727,50000000.0,50.0,3,11.910406901041668,0.01648200959745816,2.6664086666666664,0.07805260396894727,0.23820813802083335,0.029521941509202843,0.0013838326208667705
polars_eager,groupby,50M,79.64463333333333,1.8259627058988197,9002.516666666666,401.0685256079485,628007.6666666666,14333.524525856608,50000000.0,50.0,3,8.791520182291666,0.3916684820390122,0.6280076666666666,0.014333524525856609,0.17583040364583333,0.022926374690642303,0.04455071181295029
dask,groupby,50M,11.238266666666666,0.40538466094973663,4695.3133333333335,157.4854343529375,4452943.0,161240.83704508608,50000000.0,50.0,3,4.5852669270833335,0.15379436948529052,4.452943,0.16124083704508607,0.09170533854166667,0.036071813650064954,0.03354098505735595
pandas,join,50M,1552.6607333333334,5.668415805437534,11450.51,105.24971638916692,32203.0,117.57976016304848,50000000.0,50.0,3,11.182138671875,0.10278292616129582,0.032203,0.00011757976016304848,0.2236427734375,0.0036507755260019245,0.009191705556273643
polars_lazy,join,50M,94.12926666666665,4.245832015439764,11997.693333333335,291.5844458014407,531889.0,23426.307156698855,50000000.0,50.0,3,11.716497395833334,0.28475043535296946,0.531889,0.023426307156698856,0.2343299479166667,0.04510639640352485,0.024303375465626227
polars_eager,join,50M,53.39533333333333,4.46142199789858,7100.246666666666,828.1971422513683,940587.6666666666,74979.945594361,50000000.0,50.0,3,6.933834635416666,0.8087862717298518,0.9405876666666666,0.074979945594361,0.13867669270833333,0.08355453031910243,0.11664343242319775
dask,join,50M,222.98953333333336,9.078876911454065,11490.779999999999,606.6161556536384,224476.33333333334,9231.532989343286,50000000.0,50.0,3,11.221464843749999,0.5923985895055063,0.22447633333333333,0.009231532989343287,0.224429296875,0.04071436347589737,0.05279155598259113
pandas,pipeline,50M,832.4451666666668,75.51976146607812,11478.996666666666,128.0349406737605,60406.666666666664,5668.349877462871,50000000.0,50.0,3,11.209957682291666,0.12503412175171924,0.060406666666666664,0.00566834987746287,0.22419915364583332,0.09072040356541376,0.011153844224517925
polars_lazy,pipeline,50M,21.1699,0.16220829201986128,12093.65,299.42328833943435,2361934.0,18172.748058562855,50000000.0,50.0,3,11.810205078125,0.29240555501897886,2.361934,0.018172748058562855,0.2362041015625,0.007662213426603871,0.024758719521354954
polars_eager,pipeline,50M,89.54393333333333,5.994190416005599,10569.38,244.37374920395848,560041.6666666666,37145.58795245182,50000000.0,50.0,3,10.32166015625,0.2386462394569907,0.5600416666666667,0.03714558795245182,0.206433203125,0.06694133474896419,0.023120916194134235
dask,pipeline,50M,34.0879,0.6505584062941632,6873.866666666666,297.7964859318075,1467148.6666666667,27693.47660250212,50000000.0,50.0,3,6.712760416666666,0.2908168807927808,1.4671486666666667,0.02769347660250212,0.13425520833333332,0.019084731130229883,0.04332299422912978
